"subject","media","auc","missingDay"
"R_2SrbJ9ycdSFervJ","instagram",-1.70003332183725,7
"R_2SrbJ9ycdSFervJ","netflix",-89.721385609346,7
"R_2To4sOxX7tuI6ev","facebook",55.1872339965607,1
"R_2To4sOxX7tuI6ev","instagram",851.156330180458,14
"R_2To4sOxX7tuI6ev","netflix",1.59761414094469,90
"R_2VqZSJ5adg9eG9X","facebook",3363.35348380257,14
"R_2VqZSJ5adg9eG9X","instagram",6460.02370194515,7
"R_2VqZSJ5adg9eG9X","netflix",7401.26248771103,7
"R_2VrKxiyflXamKIb","facebook",1428.54266176997,14
"R_2VrKxiyflXamKIb","instagram",9001.81238440105,30
"R_2Vw3Xp1QLGomcCE","facebook",7531.14547710822,7
"R_2Vw3Xp1QLGomcCE","instagram",2386.75179570214,3
"R_2Vw3Xp1QLGomcCE","netflix",-3344.56307130793,14
"R_2VxXhM21ZXmFeBS","facebook",8538.8434642675,1
"R_2VxXhM21ZXmFeBS","instagram",9734.04557597812,30
"R_2VxXhM21ZXmFeBS","netflix",3049.42048245951,3
"R_2WA80jjzT7oPv8M","facebook",-1219.3455119061,1
"R_2WA80jjzT7oPv8M","instagram",507.119025073445,30
"R_2WA80jjzT7oPv8M","netflix",7414.21067895729,30
"R_2Wu87dtlB4NarOi","facebook",8853.66958962859,14
"R_2Wu87dtlB4NarOi","instagram",2056.68948317078,90
"R_2Wu87dtlB4NarOi","netflix",5283.15509633424,14
"R_2XaIf0qzBuDRTZ7","facebook",8089.34987172316,14
"R_2XaIf0qzBuDRTZ7","instagram",7499.47979360226,1
"R_2XaIf0qzBuDRTZ7","netflix",8230.63760189829,7
"R_2Y9x3nKVpi7O6Wu","facebook",8637.88852761618,1
"R_2Y9x3nKVpi7O6Wu","instagram",-541.24506654303,7
"R_2Y9x3nKVpi7O6Wu","netflix",-6.78606825960742,14
"R_2YQkWydkIu4WvK8","facebook",5013.93883156166,1
"R_2YQkWydkIu4WvK8","instagram",1284.65443027383,7
"R_2YQkWydkIu4WvK8","netflix",4111.59362003525,30
"R_2YVU8wM5lam9czL","facebook",8639.21953256589,14
"R_2YVU8wM5lam9czL","instagram",-203.870306462827,14
"R_2YVU8wM5lam9czL","netflix",2076.76656139917,90
"R_2YhsRD05SEm28Na","facebook",6045.66940296653,7
"R_2YhsRD05SEm28Na","instagram",10153.7297536291,30
"R_2YhsRD05SEm28Na","netflix",5997.82730830104,7
"R_2aLBAMhzkKU1kch","facebook",8028.85362014453,3
"R_2aLBAMhzkKU1kch","instagram",3863.22929343571,7
